0   0.5850   3.1240   2.115

1   0.4401   2.7071   1.833

2   0.4152   2.5702   1.755

0   4.2110   5.2670   4.874

1   3.8051   4.8671   4.501

2   3.6382   4.6992   4.346

0   5.0690   6.9380   5.728

1   4.6151   6.5251   5.349

2   4.3972   6.3302   5.205

0   5.6250   8.6210   5.700

1   5.1841   8.1941   5.329

2   4.9542   7.9852   5.169

0   7.4730  10.3040   6.446

1   7.0991   9.8331   6.041

2   6.9012   9.5552   5.850

0   9.1940  10.7570   6.784

1   8.7701  10.2201   6.353

2   8.5262   9.8922   6.143

