8 93  0 8  0.1
80 85  0 8  0.1
79 86  0 8  0.1
7 94  0 8  0.1
78 87  0 8  0.1
77 88  0 8  0.1
76 89  0 8  0.1
6 95  0 8  0.1
5 96  0 8  0.1
4 97  0 8  0.1
44 50  0 8  0.1
43 51  0 8  0.1
42 52  0 8  0.1
41 56  0 8  0.1
40 57  0 8  0.1
3 98  0 8  0.1
39 58  0 8  0.1
35 59  0 8  0.1
34 60  0 8  0.1
33 61  0 8  0.1
31 62  0 8  0.1
30 63  0 8  0.1
2 99  0 8  0.1
29 65  0 8  0.1
28 66  0 8  0.1
27 67  0 8  0.1
26 68  0 8  0.1
24 70  0 8  0.1
23 71  0 8  0.1
22 72  0 8  0.1
21 73  0 8  0.1
20 74  0 8  0.1
1 100  0 8  0.1
